Super Animal Royale ; 106.13
Sniper Elite 4 ; 1586.6
Granado Espada ; 820.09
Tom Clancy's Ghost Recon� Wildlands ; 4495.26
Rome: Total War ; 1205.8
Tree of Savior (English Ver.) ; 1243.55
Beasts of Bermuda ; 604.46
FaceRig ; 674.43
Endless Space� 2 ; 1116.01
Assassin's Creed IV Black Flag ; 1120.84
For The King ; 1006.42
Marchof Empires ; 668.6
Plants vs. Zombies: Game of the Year ; 703.27
Plague Inc: Evolved ; 531.44
Total War: WARHAMMER ; 2142.44
X4: Foundations ; 6247.04
Stronghold Crusader HD ; 569.59
Sid Meier's Civilization IV: Beyond the Sword ; 1110.97
Frostpunk ; 2159.46
Tomb Raider ; 1090.74
MapleStory ; 931.39
Nioh: Complete Edition ; 1036.72
NBA 2K19 ; 11442.44
Onmyoji ; 539.26
Tracks of Triumph: Industrial Zone ; 0.34
Titan Quest Anniversary Edition ; 973.97
Assassin's Creed Unity ; 644.71
Brick Rigs ; 400.23
Resident Evil 7 Biohazard ; 320.99
Two Point Hospital ; 1379.72
Sid Meier's Civilization III: Complete ; 982.26
DCS World Steam Edition ; 438.91
My Summer Car ; 443.4
Banished ; 1426.83
XCOM: Enemy Unknown ; 1080.82
OMSI 2 ; 690.33
The Elder Scrolls IV: Oblivion  ; 918.02
Crusaders of the Lost Idols ; 1346.56
Farming Simulator 17 ; 2842.32
Spore ; 789.59
Insurgency ; 1980.35
Enter the Gungeon ; 1455.08
Minion Masters ; 967.46
Source Filmmaker ; 926.71
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 ; 539.35
The Lord of the Rings Online� ; 880.41
Realm Grinder ; 2066.22
Realm Royale ; 2187.88
Victoria II ; 835.18
BioShock Remastered ; 324.81
Undertale ; 1366.11
DOOM ; 1345.27
Just Cause 3 ; 3033.77
Naval Action ; 314.81
Age of History II ; 977.9
Football Manager 2016 ; 2114.7
Fallout Shelter ; 1200.78
Battle Brothers ; 1886.52
Cossacks 3 ; 603.59
Rising Storm 2: Vietnam ; 1302.92
Surviving Mars ; 986.56
Project CARS 2 ; 1060.56
Governor of Poker 3 ; 445.13
FTL: Faster Than Light ; 1213.06
Metin2 ; 500.77
Rocksmith� 2014 Edition - Remastered ; 775.79
War Robots ; 423.82
Half-Life 2 ; 834.56
TERA ; 856.8
Cell to Singularity - Evolution Never Ends ; 864.75
PC Building Simulator ; 491.01
Cuphead ; 680.51
Divinity: Original Sin Enhanced Edition ; 1240.48
Wolcen: Lords of Mayhem ; 127.54
Trailmakers ; 119.85
Football Manager 2015 ; 1347.72
FINAL FANTASY XV WINDOWS EDITION ; 1365.07
Batman�: Arkham Knight ; 1030.89
Golf It! ; 444
Mafia III: Definitive Edition ; 810.85
Fallout: New Vegas RU ; 619.65
Wreckfest ; 353.95
The Witcher 2: Assassins of Kings Enhanced Edition ; 674.53
Wargame: Red Dragon ; 622.47
Deceit ; 937.25
Idling to Rule the Gods ; 805.38
Pillars of Eternity II: Deadfire ; 1372.9
Crush Crush ; 648.04
Warhammer 40000: Dawn of War - Soulstorm ; 640.96
Ravenfield ; 629.17
Avorion ; 399.79
Far Cry 4 ; 1427.05
Black Mesa ; 263.62
Pavlov VR ; 376.32
Life is Feudal: Your Own ; 774.28
The Witcher: Enhanced Edition ; 712.42
BioShock Infinite ; 542.03
Bloons TD Battles ; 483.2
RPG Maker MV ; 907.33
STAR WARS� Knights of the Old Republic� II: The Sith Lords� ; 522.62
Resident Evil 4 ; 301.41
This War of Mine ; 989.5
RaceRoom Racing Experience  ; 362.41
Post Scriptum ; 489.48
Far Cry� 3 ; 712.05
Graveyard Keeper ; 911.83
CRSED ; 327.35
Terraforming Mars ; 152.3
Ultimate Epic Battle Simulator ; 126.35
Resident Evil 6 ; 433.42
Dishonored 2 ; 1031.9
Blood Bowl 2 ; 370.31
Motorsport Manager ; 612.39
Tom Clancy's The Division ; 4702.71
Steep ; 302.98
Sins of a Solar Empire: Rebellion ; 2220.91
The Divine Paradox ; 0.27
rFactor 2 ; 430.28
Rise of Nations: Extended Edition ; 606.52
Danganronpa 2: Goodbye Despair ; 241.74
Ori and the Blind Forest: Definitive Edition ; 313.06
Borderlands: The Pre-Sequel ; 1415.05
Stick Fight: The Game ; 772.38
Citadel: Forged With Fire ; 84.79
Stream Avatars ; 135.06
Digimon Masters Online ; 598.09
Dead Frontier 2 ; 175.22
MudRunner ; 881.09
Middle-earth�: Shadow of Mordor� ; 850.44
ShareX ; 309.01
Counter-Strike Nexon: Studio ; 642.61
Mad Max ; 898.01
Golf With Your Friends ; 614.51
Lobotomy Corporation ; 195.11
Friday the 13th: The Game ; 447.18
<U+592A><U+543E><U+7ED8><U+5377> The Scroll Of Taiwu ; 2679.98
Left 4 Dead ; 449.46
Ultimate Chicken Horse ; 264.47
Feed and Grow: Fish ; 286.86
Doki Doki Literature Club ; 484.66
Clone Drone in the Danger Zone ; 124.67
TerraTech ; 450.62
Little Nightmares ; 123.25
Subsistence ; 228.22
Quake Champions ; 1244.11
Age of Wonders III ; 592.18
Stronghold Kingdoms ; 541.31
Baldur's Gate II: Enhanced Edition ; 355.45
Railway Empire ; 634.9
Resident Evil 5 ; 338.68
Football Manager 2012 ; 460.24
Borderless Gaming ; 478.15
Mass Effect ; 261.72
The Elder Scrolls III: Morrowind ; 340.22
SimCity 4 Deluxe ; 390.2
Dungeon Defenders II ; 682.86
F1 2012 ; 63.09
Farming Simulator 2013 ; 66.8
Football Manager 2014 ; 832.02
F1 2014 ; 43.57
Construction-Simulator 2015 ; 158.76
Car Mechanic Simulator 2015 ; 166.04
F1 2015 ; 136.84
Pro Evolution Soccer 2016 ; 125.41
F1 2016 ; 83.82
Pro Evolution Soccer 2017 ; 365.74
F1 2017 ; 309.65
F1 2018 ; 613.55
F1 2018 ; 455.08
F1 2018 ; 1271.73
Farm Manager 2018 ; 92.45
Farm Manager 2018 ; 94.1
Farm Manager 2018 ; 68.09
Farm Manager 2018 ; 0.21
Deus Ex: Mankind Divided� ; 599.13
SYNTHETIK ; 46.93
Lost Castle ; 594.98
Sven Co-op ; 257.91
Marvel Puzzle Quest ; 387.23
Torchlight II ; 815.2
Sleeping Dogs: Definitive Edition ; 342.03
Wolfenstein II: The New Colossus ; 576.72
S.T.A.L.K.E.R.: Shadow of Chernobyl ; 237.65
Call of Duty: Modern Warfare 2 ; 510.81
Getting Over It with Bennett Foddy ; 274.77
DC Universe Online ; 441.97
NBA 2K18 ; 2663.16
Danganronpa: Trigger Happy Havoc ; 220.8
Outlast ; 181.99
The Elder Scrolls: Legends ; 854.06
Hacknet ; 358
Farming Simulator 15 ; 335.73
Terraria ; 17776.43
Left 4 Dead 2 ; 9912.89
The Witcher 3: Wild Hunt ; 12029.72
Life is Strange� ; 515.34
Z1 Battle Royale ; 1854.7
Don't Starve Together ; 9303.77
Counter-Strike: Source ; 4404.06
Monster Hunter: World ; 37970.69
Cities: Skylines ; 10818.41
Fallout: New Vegas ; 3977.05
No Man's Sky ; 4730.73
Space Engineers ; 3122.59
Saints Row IV ; 614.63
Age of Empires II (2013) ; 10491.33
Killing Floor ; 424.74
Portal ; 489.97
Chivalry: Medieval Warfare ; 530.84
Castle Crashers ; 713.24
Rise of the Tomb Raider ; 2075.61
No More Room in Hell ; 348.21
BattleBlock Theater ; 366.82
Goat Simulator ; 158.63
Hotline Miami ; 165.24
Saints Row: The Third ; 635.28
Divinity: Original Sin 2 ; 8425.56
Dirty Bomb ; 348.85
The Binding of Isaac ; 293.68
To the Moon ; 49.91
Dishonored ; 570.45
Battlerite ; 2011.05
Ring of Elysium ; 27690.03
NieR:Automata� ; 1077.81
POSTAL 2 ; 282.62
South Park�: The Stick of Truth� ; 274.81
PAYDAY: The Heist ; 49.38
Just Cause 2 ; 463.2
Firewatch ; 74.83
Spec Ops: The Line ; 105.53
Brothers - A Tale of Two Sons ; 23.22
The Stanley Parable ; 102.85
Mafia II (Classic) ; 546.2
Everlasting Summer ; 400.02
Broforce ; 318.02
LIMBO ; 80.19
DARK SOULS II ; 368.7
Star Wars: Battlefront 2 (Classic 2005) ; 416.39
Metro 2033 Redux ; 534.22
Bastion ; 100.91
Half-Life ; 464.17
Game Dev Tycoon ; 250.11
Rising Storm/Red Orchestra 2 Multiplayer ; 440.89
Grand Theft Auto: San Andreas ; 860.5
Wolfenstein: The New Order ; 571.59
Slay the Spire ; 8278.15
